row_id,energy
94993,2022.987966
94994,1948.873877
94995,1894.276527
94996,1866.219906
94997,1870.101294
94998,1909.287872
94999,1980.116878
95000,2068.219184
95001,2152.352542
95002,2214.971704
95003,2251.492057
95004,2270.300324
95005,2283.534998
95006,2297.006455
95007,2308.15176
95008,2312.930503
95009,2313.768792
95010,2319.678957
95011,2337.568411
95012,2362.847281
95013,2378.838223
95014,2366.719202
95015,2318.185248
95016,2240.712961
95017,2152.164701
95018,2070.639662
95019,2008.284876
95020,1972.193041
95021,1967.830704
95022,1998.634213
95023,2061.009218
95024,2140.653603
95025,2216.390131
95026,2270.735981
95027,2299.165832
95028,2310.122071
95029,2315.794771
95030,2322.041401
95031,2326.341292
95032,2324.691177
95033,2319.548962
95034,2319.953273
95035,2332.832203
95036,2353.610915
95037,2365.621479
95038,2350.045738
95039,2298.577215
95040,2218.685807
95041,2128.222244
95042,2045.269452
95043,1981.953916
95044,1945.343884
95045,1940.877975
95046,1971.961581
95047,2034.966826
95048,2115.555997
95049,2192.514673
95050,2248.32176
95051,2278.413075
95052,2291.192031
95053,2298.810089
95054,2307.086914
95055,2313.465262
95056,2313.906913
95057,2310.8368
95058,2313.262864
95059,2328.085085
95060,2350.703306
95061,2364.427259
95062,2350.419562
95063,2300.357705
95064,2221.698793
95065,2132.283976
95066,2050.189769
95067,1987.539298
95068,1951.400362
95069,1947.213858
95070,1978.389952
95071,2041.307793
95072,2121.638662
95073,2198.178791
95074,2253.419086
95075,2282.808376
95076,2294.763756
95077,2301.450702
95078,2308.702891
95079,2313.97676
95080,2313.247129
95081,2308.951039
95082,2310.107335
95083,2323.625464
95084,2344.913087
95085,2357.285933
95086,2341.910665
95087,2290.466773
95088,2210.411259
95089,2119.583071
95090,2036.054443
95091,1971.942228
95092,1934.306079
95093,1928.577025
95094,1958.153852
95095,2019.403042
95096,2097.982186
95097,2172.673102
95098,2225.951872
95099,2253.252425
95100,2262.977234
95101,2267.277791
95102,2271.974786
95103,2274.513034
95104,2270.857446
95105,2263.43721
95106,2261.265698
95107,2271.249558
95108,2288.796601
95109,2297.225889
95110,2277.710797
95111,2221.941067
95112,2137.387604
95113,2041.90697
95114,1953.592744
95115,1884.586815
95116,1841.977476
95117,1831.227856
95118,1855.772107
95119,1912.015104
95120,1985.655557
95121,2055.5188
95122,2104.126431
95123,2126.959491
95124,2132.468692
95125,2132.854409
95126,2133.986348
95127,2133.357945
95128,2126.981792
95129,2117.333267
95130,2113.469894
95131,2122.339893
95132,2139.389534
95133,2147.972718
95134,2129.293551
95135,2075.067951
95136,1992.78803
95137,1900.326212
95138,1815.786284
95139,1751.31441
95140,1713.997017
95141,1709.289086
95142,1740.610239
95143,1804.344429
95144,1886.163089
95145,1964.858038
95146,2022.911301
95147,2055.758524
95148,2071.799518
95149,2083.178615
95150,2095.704768
95151,2106.80642
95152,2112.427469
95153,2114.971467
95154,2123.42159
95155,2144.649833
95156,2174.02503
95157,2194.823119
95158,2188.170421
95159,2145.705935
95160,2074.846426
95161,1993.391226
95162,1919.373945
95163,1864.874135
95164,1836.915778
95165,1840.896142
95166,1880.182399
95167,1951.11178
95168,2039.315144
95169,2123.550234
95170,2186.271794
95171,2222.895201
95172,2241.807166
95173,2255.146176
95174,2268.722593
95175,2279.973476
95176,2284.858403
95177,2285.803472
95178,2291.821005
95179,2309.818405
95180,2335.205787
95181,2351.305799
95182,2339.296394
95183,2290.872595
95184,2213.510989
95185,2125.073929
95186,2043.660597
95187,1981.418015
95188,1945.438872
95189,1941.189703
95190,1972.106849
95191,2034.595946
95192,2114.354872
95193,2190.206378
95194,2244.667631
95195,2273.213304
95196,2284.28577
95197,2290.075094
95198,2296.438735
95199,2300.856012
95200,2299.323648
95201,2294.299542
95202,2294.822305
95203,2307.820024
95204,2328.717849
95205,2340.847841
95206,2325.391833
95207,2274.043336
95208,2194.272239
95209,2103.92926
95210,2021.097316
95211,1957.90288
95212,1921.414192
95213,1917.06986
95214,1948.275264
95215,2011.40252
95216,2092.113903
95217,2169.194983
95218,2225.124654
95219,2255.338725
95220,2268.240598
95221,2275.981722
95222,2284.381754
95223,2290.883439
95224,2291.448546
95225,2288.501998
95226,2291.051726
95227,2305.997699
95228,2328.739752
95229,2342.587604
95230,2328.703864
95231,2278.766012
95232,2200.231141
95233,2110.940394
95234,2028.970273
95235,1966.443894
95236,1930.429048
95237,1926.366619
95238,1957.666764
95239,2020.708624
95240,2101.163466
95241,2177.827514
95242,2233.191664
95243,2262.704734
95244,2274.78381
95245,2281.594357
95246,2288.970041
95247,2294.367291
95248,2293.760916
95249,2289.587947
95250,2290.867219
95251,2304.508169
95252,2325.918447
95253,2338.413774
95254,2323.160802
95255,2271.83901
95256,2191.905393
95257,2101.198887
95258,2017.791716
95259,1953.800723
95260,1916.285552
95261,1910.677224
95262,1940.374511
95263,2001.743889
95264,2080.442937
95265,2155.253465
95266,2208.651543
95267,2236.071092
95268,2245.914576
95269,2250.333476
95270,2255.148473
95271,2257.804372
95272,2254.266075
95273,2246.962761
95274,2244.907791
95275,2255.007805
95276,2272.670604
95277,2281.215241
95278,2261.815081
95279,2206.159858
95280,2121.720466
95281,2026.353458
95282,1938.152405
95283,1869.259186
95284,1826.762085
95285,1816.124222
95286,1840.77974
95287,1897.133504
95288,1970.884217
95289,2040.857201
95290,2089.574048
95291,2112.515789
95292,2118.133127
95293,2118.626427
95294,2119.86539
95295,2119.343439
95296,2113.073159
95297,2103.52992
95298,2099.771236
95299,2108.74532
95300,2125.898432
95301,2134.584465
95302,2116.007517
95303,2061.883497
95304,1979.704508
95305,1887.342968
95306,1802.902653
95307,1738.52972
95308,1701.310589
95309,1696.70023
95310,1728.11826
95311,1791.94862
95312,1873.862739
95313,1952.652426
95314,2010.799699
95315,2043.740195
95316,2059.873718
95317,2071.344592
95318,2083.961761
95319,2095.153662
95320,2100.864185
95321,2103.496874
95322,2112.034898
95323,2133.350245
95324,2162.811739
95325,2183.695313
95326,2177.12728
95327,2134.746632
95328,2063.970126
95329,1982.597088
95330,1908.66112
95331,1854.241766
95332,1826.363002
95333,1830.42209
95334,1869.786194
95335,1940.792537
95336,2029.071974
95337,2113.382239
95338,2176.178069
95339,2212.874836
95340,2231.859245
95341,2245.269773
95342,2258.916779
95343,2270.237314
95344,2275.19095
95345,2276.203778
95346,2282.288115
95347,2300.351356
95348,2325.803612
95349,2341.967523
95350,2330.021038
95351,2281.659172
95352,2204.358507
95353,2115.981391
95354,2034.626998
95355,1972.442347
95356,1936.520119
95357,1932.326845
95358,1963.298859
95359,2025.841794
95360,2105.653519
95361,2181.556783
95362,2236.068747
95363,2264.664076
95364,2275.785142
95365,2281.622001
95366,2288.032109
95367,2292.494781
95368,2291.006733
95369,2286.02586
95370,2286.590769
95371,2299.62954
95372,2320.567321
95373,2332.736166
95374,2317.317906
95375,2266.006046
95376,2186.27047
95377,2095.961893
95378,2013.163227
95379,1950.000942
95380,1913.543272
95381,1909.228822
95382,1940.462968
95383,2003.617822
95384,2084.355655
95385,2161.462032
95386,2217.415846
95387,2247.6529
95388,2260.576593
95389,2268.338371
95390,2276.757887
95391,2283.277882
95392,2283.860123
95393,2280.92953
95394,2283.494029
95395,2298.453587
95396,2321.208035
95397,2335.067091
95398,2321.193359
95399,2271.264317
95400,2192.737056
95401,2103.452714
95402,2021.487793
95403,1958.965405
95404,1922.953339
95405,1918.892476
95406,1950.192971
